PAY_DATE,PAY_AMOUNT,USER_ID,REG_DATE,PAY_DATE_TS,REG_DATE_TS
1598410000000.0,34.99,115243,1598410000000.0,1598410000000.0,1598410000000.0
1598450000000.0,1.99,115417,1598450000000.0,1598450000000.0,1598450000000.0
1598460000000.0,3.99,115430,1598450000000.0,1598460000000.0,1598450000000.0
1598460000000.0,3.99,115430,1598450000000.0,1598460000000.0,1598450000000.0
1597070000000.0,5.0764537,70582,1597070000000.0,1597070000000.0,1597070000000.0
1597080000000.0,5.0764537,70582,1597070000000.0,1597080000000.0,1597070000000.0
1597080000000.0,5.0764537,70582,1597070000000.0,1597080000000.0,1597070000000.0
1597580000000.0,2.4733492999999998,95256,1597570000000.0,1597580000000.0,1597570000000.0
1597640000000.0,19.99,70333,1596960000000.0,1597640000000.0,1596960000000.0
1597640000000.0,17.99,70333,1596960000000.0,1597640000000.0,1596960000000.0
1597650000000.0,17.99,70333,1596960000000.0,1597650000000.0,1596960000000.0
1597670000000.0,5.090650599999999,95256,1597570000000.0,1597670000000.0,1597570000000.0
1597790000000.0,17.99,105110,1597790000000.0,1597790000000.0,1597790000000.0
1597790000000.0,5.107373,95256,1597570000000.0,1597790000000.0,1597570000000.0
1597860000000.0,5.107373,105295,1597860000000.0,1597860000000.0,1597860000000.0
1597920000000.0,4.614918,105475,1597920000000.0,1597920000000.0,1597920000000.0
1597920000000.0,4.614918,105475,1597920000000.0,1597920000000.0,1597920000000.0
1598020000000.0,3.99,105626,1597980000000.0,1598020000000.0,1597980000000.0
1598020000000.0,3.99,110063,1598020000000.0,1598020000000.0,1598020000000.0
1598020000000.0,3.99,110063,1598020000000.0,1598020000000.0,1598020000000.0
1598020000000.0,17.99,110063,1598020000000.0,1598020000000.0,1598020000000.0
1598050000000.0,17.99,105626,1597980000000.0,1598050000000.0,1597980000000.0
1598110000000.0,2.118792,110243,1598110000000.0,1598110000000.0,1598110000000.0
1598200000000.0,17.99,110063,1598020000000.0,1598200000000.0,1598020000000.0
1598230000000.0,2.4739158,110762,1598230000000.0,1598230000000.0,1598230000000.0
1596340000000.0,3.99,30256,1596340000000.0,1596340000000.0,1596340000000.0
1596340000000.0,17.99,30256,1596340000000.0,1596340000000.0,1596340000000.0
1596430000000.0,19.99,30457,1596430000000.0,1596430000000.0,1596430000000.0
1596430000000.0,17.99,30457,1596430000000.0,1596430000000.0,1596430000000.0
1596590000000.0,24.851727,30397,1596410000000.0,1596590000000.0,1596410000000.0
1596590000000.0,5.090743499999999,30397,1596410000000.0,1596590000000.0,1596410000000.0
1596160000000.0,19.99,30054,1596160000000.0,1596160000000.0,1596160000000.0
1597970000000.0,3.99,105565,1597970000000.0,1597970000000.0,1597970000000.0
1597970000000.0,1.99,105565,1597970000000.0,1597970000000.0,1597970000000.0
1598120000000.0,1.99,105565,1597970000000.0,1598120000000.0,1597970000000.0
1598120000000.0,17.99,110314,1598120000000.0,1598120000000.0,1598120000000.0
1598130000000.0,17.99,110314,1598120000000.0,1598130000000.0,1598120000000.0
1598150000000.0,17.99,110454,1598150000000.0,1598150000000.0,1598150000000.0
1598160000000.0,17.99,110314,1598120000000.0,1598160000000.0,1598120000000.0
1598160000000.0,17.99,110314,1598120000000.0,1598160000000.0,1598120000000.0
1598190000000.0,9.99,110314,1598120000000.0,1598190000000.0,1598120000000.0
1598200000000.0,17.99,110454,1598150000000.0,1598200000000.0,1598150000000.0
1598220000000.0,3.99,110430,1598140000000.0,1598220000000.0,1598140000000.0
1598220000000.0,17.99,110314,1598120000000.0,1598220000000.0,1598120000000.0
1598230000000.0,3.99,110430,1598140000000.0,1598230000000.0,1598140000000.0
1598230000000.0,3.99,110430,1598140000000.0,1598230000000.0,1598140000000.0
1596790000000.0,19.99,65162,1596790000000.0,1596790000000.0,1596790000000.0
1596790000000.0,3.99,65162,1596790000000.0,1596790000000.0,1596790000000.0
1598440000000.0,3.99,115197,1598400000000.0,1598440000000.0,1598400000000.0
1598440000000.0,1.99,115197,1598400000000.0,1598440000000.0,1598400000000.0
1598490000000.0,4.1671314,115632,1598490000000.0,1598490000000.0,1598490000000.0
1597230000000.0,4.6202197,35012,1596450000000.0,1597230000000.0,1596450000000.0
1597300000000.0,1.99,85104,1597290000000.0,1597300000000.0,1597290000000.0
1597340000000.0,3.99,85164,1597340000000.0,1597340000000.0,1597340000000.0
1597350000000.0,3.99,85164,1597340000000.0,1597350000000.0,1597340000000.0
1597360000000.0,3.99,85164,1597340000000.0,1597360000000.0,1597340000000.0
1597550000000.0,19.99,95230,1597550000000.0,1597550000000.0,1597550000000.0
1597720000000.0,3.99,95515,1597720000000.0,1597720000000.0,1597720000000.0
1597760000000.0,2.4814742,105005,1597760000000.0,1597760000000.0,1597760000000.0
1597760000000.0,5.107373,105005,1597760000000.0,1597760000000.0,1597760000000.0
1597760000000.0,5.107373,105005,1597760000000.0,1597760000000.0,1597760000000.0
1597780000000.0,5.107373,105005,1597760000000.0,1597780000000.0,1597760000000.0
1597820000000.0,17.99,105204,1597820000000.0,1597820000000.0,1597820000000.0
1598380000000.0,3.99,115052,1598380000000.0,1598380000000.0,1598380000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,2.2758274,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596460000000.0,4.630131700000001,35012,1596450000000.0,1596460000000.0,1596450000000.0
1596700000000.0,4.666181,35012,1596450000000.0,1596700000000.0,1596450000000.0
1596700000000.0,4.666181,35012,1596450000000.0,1596700000000.0,1596450000000.0
1596700000000.0,4.666181,35012,1596450000000.0,1596700000000.0,1596450000000.0
1596700000000.0,2.2935467000000003,35012,1596450000000.0,1596700000000.0,1596450000000.0
1596700000000.0,4.666181,35012,1596450000000.0,1596700000000.0,1596450000000.0
1596700000000.0,4.666181,35012,1596450000000.0,1596700000000.0,1596450000000.0
1596700000000.0,4.666181,35012,1596450000000.0,1596700000000.0,1596450000000.0
1596840000000.0,3.99,40176,1596610000000.0,1596840000000.0,1596610000000.0
1596860000000.0,4.6824449999999995,70128,1596860000000.0,1596860000000.0,1596860000000.0
1595960000000.0,3.99,15046,1595950000000.0,1595960000000.0,1595950000000.0
1595960000000.0,3.99,15046,1595950000000.0,1595960000000.0,1595950000000.0
1595960000000.0,3.99,15046,1595950000000.0,1595960000000.0,1595950000000.0
1595960000000.0,3.99,15046,1595950000000.0,1595960000000.0,1595950000000.0
1595960000000.0,3.99,15046,1595950000000.0,1595960000000.0,1595950000000.0
1595970000000.0,1.99,15046,1595950000000.0,1595970000000.0,1595950000000.0
1595970000000.0,3.99,15046,1595950000000.0,1595970000000.0,1595950000000.0
1595970000000.0,3.99,15046,1595950000000.0,1595970000000.0,1595950000000.0
1596200000000.0,3.99,30072,1596180000000.0,1596200000000.0,1596180000000.0
1596200000000.0,3.99,30072,1596180000000.0,1596200000000.0,1596180000000.0
1596200000000.0,1.99,30072,1596180000000.0,1596200000000.0,1596180000000.0
1598400000000.0,3.99,110774,1598230000000.0,1598400000000.0,1598230000000.0
1596420000000.0,1.99,30435,1596420000000.0,1596420000000.0,1596420000000.0
1596770000000.0,3.99,65097,1596770000000.0,1596770000000.0,1596770000000.0
1596770000000.0,3.99,65097,1596770000000.0,1596770000000.0,1596770000000.0
1596930000000.0,5.1021147000000004,70268,1596930000000.0,1596930000000.0,1596930000000.0
1597300000000.0,3.99,65097,1596770000000.0,1597300000000.0,1596770000000.0
1597780000000.0,17.99,105070,1597760000000.0,1597780000000.0,1597760000000.0
1597810000000.0,17.99,105070,1597760000000.0,1597810000000.0,1597760000000.0
1597830000000.0,17.99,105070,1597760000000.0,1597830000000.0,1597760000000.0
1597840000000.0,17.99,105070,1597760000000.0,1597840000000.0,1597760000000.0
1597900000000.0,3.99,95513,1597720000000.0,1597900000000.0,1597720000000.0
1597910000000.0,1.99,95513,1597720000000.0,1597910000000.0,1597720000000.0
1597910000000.0,3.99,95513,1597720000000.0,1597910000000.0,1597720000000.0
1598190000000.0,19.99,110594,1598190000000.0,1598190000000.0,1598190000000.0
1598190000000.0,34.99,110594,1598190000000.0,1598190000000.0,1598190000000.0
1598190000000.0,17.99,110594,1598190000000.0,1598190000000.0,1598190000000.0
1598200000000.0,3.99,110597,1598190000000.0,1598200000000.0,1598190000000.0
1598200000000.0,3.99,110634,1598200000000.0,1598200000000.0,1598200000000.0
1598210000000.0,3.99,110634,1598200000000.0,1598210000000.0,1598200000000.0
1598210000000.0,3.99,110634,1598200000000.0,1598210000000.0,1598200000000.0
1598210000000.0,5.091816400000001,80120,1597220000000.0,1598210000000.0,1597220000000.0
1598210000000.0,22.239063,80120,1597220000000.0,1598210000000.0,1597220000000.0
1598290000000.0,22.239063,80120,1597220000000.0,1598290000000.0,1597220000000.0
1598300000000.0,5.091816400000001,80120,1597220000000.0,1598300000000.0,1597220000000.0
1598370000000.0,22.259577,80120,1597220000000.0,1598370000000.0,1597220000000.0
1598410000000.0,17.99,115027,1598370000000.0,1598410000000.0,1598370000000.0
1598460000000.0,3.99,115027,1598370000000.0,1598460000000.0,1598370000000.0
1596950000000.0,3.99,70315,1596950000000.0,1596950000000.0,1596950000000.0
1597350000000.0,35.229538,85147,1597330000000.0,1597350000000.0,1597330000000.0
1598370000000.0,3.99,115027,1598370000000.0,1598370000000.0,1598370000000.0
1598370000000.0,3.99,115027,1598370000000.0,1598370000000.0,1598370000000.0
1598380000000.0,1.99,115027,1598370000000.0,1598380000000.0,1598370000000.0
1598380000000.0,1.99,111007,1598290000000.0,1598380000000.0,1598290000000.0
1596470000000.0,2.4727992999999997,35026,1596460000000.0,1596470000000.0,1596460000000.0
1596070000000.0,19.99,20069,1596070000000.0,1596070000000.0,1596070000000.0
1596070000000.0,3.99,20069,1596070000000.0,1596070000000.0,1596070000000.0
1596090000000.0,17.99,20094,1596090000000.0,1596090000000.0,1596090000000.0
1598460000000.0,3.99,110627,1598200000000.0,1598460000000.0,1598200000000.0
1598490000000.0,3.99,115607,1598490000000.0,1598490000000.0,1598490000000.0
1598500000000.0,3.99,115607,1598490000000.0,1598500000000.0,1598490000000.0
1598500000000.0,3.99,115607,1598490000000.0,1598500000000.0,1598490000000.0
1596890000000.0,5.1021147000000004,70170,1596890000000.0,1596890000000.0,1596890000000.0
1597120000000.0,3.99,70720,1597120000000.0,1597120000000.0,1597120000000.0
1597120000000.0,3.99,70720,1597120000000.0,1597120000000.0,1597120000000.0
1597120000000.0,3.99,70720,1597120000000.0,1597120000000.0,1597120000000.0
1597120000000.0,3.99,70720,1597120000000.0,1597120000000.0,1597120000000.0
1597120000000.0,1.99,70720,1597120000000.0,1597120000000.0,1597120000000.0
1597120000000.0,3.99,70720,1597120000000.0,1597120000000.0,1597120000000.0
1597120000000.0,3.99,70720,1597120000000.0,1597120000000.0,1597120000000.0
1597170000000.0,4.1174607000000005,80034,1597170000000.0,1597170000000.0,1597170000000.0
1597450000000.0,1.99,95057,1597450000000.0,1597450000000.0,1597450000000.0
1597450000000.0,3.99,95057,1597450000000.0,1597450000000.0,1597450000000.0
1597450000000.0,1.99,95057,1597450000000.0,1597450000000.0,1597450000000.0
1597810000000.0,3.99,105174,1597810000000.0,1597810000000.0,1597810000000.0
1597810000000.0,17.99,105174,1597810000000.0,1597810000000.0,1597810000000.0
1597880000000.0,22.307009,105324,1597870000000.0,1597880000000.0,1597870000000.0
1598030000000.0,3.99,105571,1597970000000.0,1598030000000.0,1597970000000.0
1598030000000.0,3.99,105571,1597970000000.0,1598030000000.0,1597970000000.0
1598030000000.0,17.99,110079,1598030000000.0,1598030000000.0,1598030000000.0
1598030000000.0,9.99,110079,1598030000000.0,1598030000000.0,1598030000000.0
1598070000000.0,17.99,110079,1598030000000.0,1598070000000.0,1598030000000.0
1598170000000.0,4.64697,110486,1598160000000.0,1598170000000.0,1598160000000.0
1598200000000.0,19.99,110627,1598200000000.0,1598200000000.0,1598200000000.0
1598200000000.0,3.99,110627,1598200000000.0,1598200000000.0,1598200000000.0
1598300000000.0,3.99,110627,1598200000000.0,1598300000000.0,1598200000000.0
1598300000000.0,3.99,110170,1598080000000.0,1598300000000.0,1598080000000.0
1598300000000.0,3.99,110170,1598080000000.0,1598300000000.0,1598080000000.0
1598300000000.0,5.091816400000001,111056,1598300000000.0,1598300000000.0,1598300000000.0
1598300000000.0,5.091816400000001,111056,1598300000000.0,1598300000000.0,1598300000000.0
1598310000000.0,22.239063,111056,1598300000000.0,1598310000000.0,1598300000000.0
1598310000000.0,11.767462,111056,1598300000000.0,1598310000000.0,1598300000000.0
1598310000000.0,22.239063,111056,1598300000000.0,1598310000000.0,1598300000000.0
1596270000000.0,17.99,20069,1596070000000.0,1596270000000.0,1596070000000.0
1596270000000.0,3.99,20069,1596070000000.0,1596270000000.0,1596070000000.0
1596280000000.0,4.6754823,30127,1596230000000.0,1596280000000.0,1596230000000.0
1596520000000.0,22.229025,35071,1596480000000.0,1596520000000.0,1596480000000.0
1596600000000.0,3.99,40163,1596600000000.0,1596600000000.0,1596600000000.0
1596770000000.0,3.99,40163,1596600000000.0,1596770000000.0,1596600000000.0
1596800000000.0,5.104739,50134,1596700000000.0,1596800000000.0,1596700000000.0
1596800000000.0,2.4801946,50134,1596700000000.0,1596800000000.0,1596700000000.0
